index,seed,prompt,language,pair_id,source_dataset,source_id,prompt_sha256
12,52006,"integrated_multimodal_description: Visual style: Gritty naturalistic realism; overcast daylight, dusty amber highlights, rust and concrete tones; camera is observational and moves at walking pace. Setting: A decaying factory yard and the abandoned factory interior beyond a rusted sliding gate: weedy gravel outside, a tall gate in a corrugated-metal wall, broken concrete inside, dust shafts, rusted I-beams, and a dead assembly line. Duration: 8 seconds. [Shot 1, 00:00.000–00:04.000] Wide tracking two-shot from behind the cowboys at chest height. Tracks forward at walking speed, slightly to the right of the cowboy path as they approach the gate. Visible subjects: Lead cowboy in a dusty tan duster coat, brown hat, and worn leather boots. Second cowboy in a dark canvas vest, gray hat, and worn trousers, following cowboy_1. Rusted sliding steel gate set in the factory wall, with a track-mounted frame and a narrow pass-through gap. From 00:00.000 to 00:02.100: The cowboys walk across the weedy gravel yard toward the rusted sliding gate. Cowboy_1 leads, cowboy_2 follows half a step behind, and dust lifts around their boots with each stride. From 00:02.100 to 00:04.000: Cowboy_1 grips the edge of the rusted gate, slides it open just enough, and steps through the gap into the dark factory interior. Cowboy_2 follows immediately, and the gate rattles slightly behind them. [Shot 2, 00:04.000–00:08.000] Medium-wide low-angle two-shot inside the factory. Dollies backward at walking speed as the cowboys advance, then tilts slightly upward to reveal the high dark ceiling. Visible subjects: A small loose steel bolt lying on the cracked concrete near a fallen I-beam. From 00:04.000 to 00:05.600: Inside the factory, the cowboys walk through a column of dust-filled light falling from a broken skylight. Their boots land on concrete littered with rust flakes, and long shadows slide beside them. From 00:05.600 to 00:08.000: Cowboy_2 steps around a fallen I-beam and accidentally kicks the loose bolt, sending it skittering across the concrete. Cowboy_1 continues deeper toward a dead assembly line, and dust spirals around their legs in the light.
overall_soundscape: [00:00.000–00:02.100] Cowboy_1's boots crunch through gravel and packed dirt. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:00.000–00:08.000] Low wind moves around the abandoned factory shell; faint metallic creaks and distant drips echo from inside. Its source is The abandoned factory shell and surrounding yard, including the gravel, corrugated wall, broken windows, and interior ruins., placed on screen. [00:00.100–00:02.100] Cowboy_2's boots scuff through the same gravel half a step behind. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:02.200–00:03.400] Rusty metal screech and scrape as the sliding gate rolls open. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:04.000–00:05.600] Cowboy_1's boots crunch over rust flakes and debris on the concrete floor. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:05.700–00:06.400] The kicked bolt skitters and clatters across the concrete, striking the fallen I-beam with a metallic ring. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-007,vidprom_50k,vidprom_50k-b222d72355518b10,d9b545a8aa9652d6e4958a020c1e9e8483f763e00ee5c4e026292c4faa387d03
13,52006,"integrated_multimodal_description: 视觉风格：粗粝的自然主义写实；阴天日光，蒙尘的琥珀色高光，铁锈与混凝土色调；镜头为观察式，以步行速度移动。场景：一个正在腐朽的工厂院落，以及一道生锈滑动门之外被废弃的工厂内部：外面是杂草丛生的砾石地，波纹金属墙上一扇高大的门，内部是破碎的混凝土、灰尘光柱、生锈的工字钢梁，以及一条废弃的装配线。持续时间：8 seconds。 [Shot 1, 00:00.000–00:04.000] 宽景跟拍双人镜头，从牛仔身后齐胸高度拍摄。镜头以步行速度向前移动，并在牛仔们接近大门时，略微位于其行进路径的右侧。可见主体：领头的牛仔穿着蒙尘的黄褐色防尘长外套，戴着棕色帽子，穿着破旧的皮靴；第二名牛仔穿着深色帆布马甲，戴着灰色帽子，穿着旧裤子，跟在牛仔一号身后。工厂墙壁上有一扇生锈的滑动钢门，配有轨道式门架和一个狭窄的通行缝隙。从 00:00.000 到 00:02.100: 牛仔们穿过长满杂草的砾石院子，走向生锈的滑动门。牛仔一号在前领路，牛仔二号落后半步跟在后面，每一步都会在他们靴子周围扬起尘土。从 00:02.100 到 00:04.000: 牛仔一号抓住生锈大门的边缘，将其滑开到刚好够通过的宽度，然后穿过缺口进入黑暗的工厂内部。牛仔二号立刻跟上，大门在他们身后轻微哐当作响。 [Shot 2, 00:04.000–00:08.000] 工厂内部的中宽低角度双人镜头。随着牛仔们前进，镜头以步行速度向后移动，然后轻微上摇，露出高大昏暗的天花板。可见主体：一颗松动的钢质小螺栓位于一根倒下的工字钢梁旁的开裂混凝土上。从 00:04.000 到 00:05.600: 在工厂内部，牛仔们穿过一道从破碎天窗射下的充满灰尘的光柱。他们的靴子踩在散落着锈屑的混凝土上，长长的影子在他们身边滑动。从 00:05.600 到 00:08.000: 牛仔二号绕过一根倒下的工字梁，不小心踢到那颗松动的螺栓，使其在混凝土上飞速滑行。牛仔一号继续向深处走去，走向一条废弃的装配线，光中灰尘在他们腿边盘旋。
overall_soundscape: [00:00.000–00:02.100] 牛仔一号的靴子嘎吱作响地踩过砾石和压实的泥土。其声源是先前引入的对应主体，位于画面中。它与对应的可见动作同步。 [00:00.000–00:08.000] 低弱的风绕着废弃厂房外壳吹动；内部传来微弱的金属吱嘎声和远处水滴声的回响。其声源为废弃厂房外壳及周边院落，包括砾石、波纹墙、破损窗户和内部废墟，位于画面中。它与对应的可见动作同步。 [00:00.100–00:02.100] 牛仔二号的靴子落后半步，在同样的砾石上拖曳作响。其声源是先前引入的对应主体，位于画面中。它与对应的可见动作同步。 [00:02.200–00:03.400] 生锈金属发出尖啸和刮擦声，滑动门滚开。其声源是先前引入的对应主体，位于画面中。它与对应的可见动作同步。 [00:04.000–00:05.600] 牛仔一号的靴子碾过混凝土地板上的锈屑和碎渣，发出嘎吱声。其声源是先前引入的对应主体，位于画面中。它与对应的可见动作同步。 [00:05.700–00:06.400] 被踢出的螺栓在混凝土上滑行并发出当啷声，撞上倒下的工字梁，发出金属鸣响。其声源是先前引入的对应主体，位于画面中。它与对应的可见动作同步。
spoken_dialogue: 无。
non_diegetic_music: 无。
hard_constraints: 保留源提示中明确陈述的每一个主体、动作、属性、数量、关系、场景、镜头指令和风格约束。",zh,vp-007,vidprom_50k,vidprom_50k-b222d72355518b10,efeca1e2bf76f3f685388cb25f988eac1717f180967b07ed41a60b354f46bd32
14,52007,"integrated_multimodal_description: Visual style: Continuous chase-cam action footage following closely behind and slightly above an arrow; grasses and orchard background rush past, and the banana target grows from a distant shape as the camera closes on it in bright natural daylight. Setting: Sunlit edge of an orchard with a weathered wooden crate; a ripe yellow banana with a few brown speckles rests diagonally across the crate, and a loose cloud of small dark-bodied fruit flies hovers above it in the arrow's path. Duration: 8 seconds. [Shot 1, 00:00.000–00:08.000] Chase framing from behind and slightly above the arrow tail; the fletching and shaft occupy the lower frame while the banana sits at the center and grows as the arrow closes. Chase cam locked behind the arrow, with a shallow depth of field that shifts between the fletching and the distant banana, with no cuts. Visible subjects: Black-shafted arrow with red fletching and a polished steel broadhead, seen from behind and slightly above while chasing toward the banana. Ripe yellow banana with brown speckles and a greenish stem, resting diagonally on a weathered wooden crate. Small loose cloud of fruit flies with dark bodies and fast translucent wings, circling tightly around the banana. From 00:00.000 to 00:02.500: The chase camera is already moving fast; the red fletching shudders at the lower edge, background grass and branches blur by, and the dark arrow shaft points toward a small distant yellow banana surrounded by a dark speckle of fruit flies. From 00:01.500 to 00:05.300: The fruit-fly cloud swirls tightly around the banana as the fruit grows in the frame; when the arrow closes, the cloud veers toward the stem and starts to thin across the center. From 00:04.800 to 00:07.200: The banana fills the upper half of the frame, the fletching shakes at the lower edge, and the arrow's shadow slides across the glossy yellow peel; the fruit-fly cloud splits left and right, clearing the arrow's path. From 00:07.200 to 00:08.000: The polished broadhead slams into the banana's side, dimples the peel, and splits it open with a small spray of pulp; the banana rocks on the crate, the fruit flies burst upward, and the red fletching quivers as the broadhead embeds in the fruit.
overall_soundscape: [00:00.000–00:07.000] Rising whoosh and soft feather-flutter of the arrow cutting through air, stopping just before impact. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:00.000–00:08.000] Continuous outdoor wind ambience with distant grass movement, present behind the more specific flight and impact sounds. Its source is the surrounding environment, placed off screen. It is synchronized with the corresponding visible action. [00:00.000–00:08.000] Tight high-pitched buzzing from the fruit-fly cloud, growing frantic as the arrow nears and bursting into a scattered flutter during the impact. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:07.200–00:08.000] Soft thud and sharp peel-tearing crackle as the broadhead embeds into the banana. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-008,vidprom_50k,vidprom_50k-481fb0456bacf6f5,42de68d2172fdee24c1a81a2fb3023060d4fd576d4e6acce300f712a10e512ec
15,52007,"integrated_multimodal_description: 视觉风格：持续追尾镜头动作画面，紧密跟随在一支箭的后方并略高于箭；草地和果园背景飞速掠过，香蕉目标随着镜头接近而从远处的一个形状逐渐变大，画面处于明亮的自然日光下。场景设定：阳光照耀的果园边缘，有一个经风化的木箱；一根熟透的黄色香蕉带有少许棕色斑点，斜放在木箱上，一小群松散的深色小果蝇在香蕉上方、箭的路径上盘旋。持续时间：8 seconds。[Shot 1, 00:00.000–00:08.000] 从箭尾后方并略高于箭尾的追逐构图；箭羽和箭杆占据画面下部，而香蕉位于画面中央并随着箭的接近而变大。追尾镜头锁定在箭后方，采用浅景深，焦点在箭羽与远处香蕉之间切换，无剪切。可见主体：一支黑色箭杆、红色箭羽和抛光钢制宽头箭头的箭，从后方略高于箭的位置可见，正朝香蕉追逐。熟透的黄色香蕉带有棕色斑点和微绿色的茎，斜放在经风化的木箱上。一小群松散的果蝇，身体深色，翅膀快速扇动且半透明，紧紧环绕香蕉盘旋。从 00:00.000 到 00:02.500：追尾镜头已经在快速移动；红色箭羽在下边缘颤动，背景草地和树枝模糊掠过，深色箭杆指向远处一个小而黄的香蕉，香蕉周围环绕着一团深色的果蝇斑点。从 00:01.500 到 00:05.300：随着果实在画面中变大，果蝇群紧密地绕着香蕉旋动；当箭接近时，果蝇群转向茎部并开始在画面中央变稀。从 00:04.800 到 00:07.200：香蕉填满画面上半部分，箭羽在下边缘晃动，箭的阴影滑过光滑的黄色果皮；果蝇群左右分开，为箭清出路径。从 00:07.200 到 00:08.000：抛光的宽头箭头猛击香蕉侧面，使果皮凹陷并将其劈开，溅出少量果肉；香蕉在木箱上晃动，果蝇向上爆散，宽头箭头嵌入果实时红色箭羽颤动。
overall_soundscape: [00:00.000–00:07.000] 箭破空而过的升调嗖声和轻柔的羽翎扑动声，在即将撞击前停止。其声源是先前引入的对应主体，位于画面内。它与对应的可见动作同步。 [00:00.000–00:08.000] 持续的户外风声环境音，伴有远处草叶的动静，作为更具体的飞行声和撞击声的背景存在。其声源是周围环境，位于画面外。它与对应的可见动作同步。 [00:00.000–00:08.000] 果蝇群发出的紧密高音嗡鸣，随着箭的接近而变得狂乱，并在撞击时爆散成零乱的扑动声。其声源是先前引入的对应主体，位于画面内。它与对应的可见动作同步。 [00:07.200–00:08.000] 宽头箭头嵌入香蕉时发出的轻柔闷响和尖锐的果皮撕裂噼啪声。其声源是先前引入的对应主体，位于画面内。它与对应的可见动作同步。
spoken_dialogue: 无。
non_diegetic_music: 无。
hard_constraints: 保留源提示中明确陈述的每一个主体、动作、属性、数量、关系、场景设定、镜头指令和风格约束。",zh,vp-008,vidprom_50k,vidprom_50k-481fb0456bacf6f5,9745047a31bf4ce20945cbd17ec42566cf084f3782f7713baf4f05701208d0d6
16,52008,"integrated_multimodal_description: Visual style: Naturalistic, calm forest footage with dappled sunlight, vivid green foliage, and a quietly glistening stream; movement stays slow and gentle. Setting: A lush green forest beside a clear, glistening stream; a mossy, winding path runs along the water's edge through ferns and shaded undergrowth. Duration: 8 seconds. [Shot 1, 00:00.000–00:04.200] Wide two-shot. Lateral tracking shot that moves at the monk's walking speed; the monk occupies the left side of frame with the bear visible behind on the trail and the stream glinting at the right. Visible subjects: A robed monk walking at a calm, unhurried pace along the streamside trail. A clear forest stream beside the path, its glittering surface flowing over mossy stones. A large, calm brown-furred bear following the monk at a steady distance without any sign of agitation. Throughout the shot: The monk walks in a steady, unhurried rhythm along the streamside path, his ochre robe swaying gently with each stride. Throughout the shot: The stream glitters as shallow water slips over smooth, moss-edged stones beside the path. From 00:00.800 to 00:04.200: A few strides behind, the docile bear plods calmly, its paws landing softly on moss and scattered leaves as it follows the same route. [Shot 2, 00:04.200–00:08.000] Medium over-the-shoulder shot. Handheld camera behind and slightly left of the monk, tracking forward as he continues walking; the bear remains clearly visible on the path behind him. Throughout the shot: The monk glances calmly over his shoulder at the bear, then turns his gaze forward and keeps walking. Throughout the shot: The bear continues at ease behind the monk, head low and speed steady, making no sudden or aggressive movement. Throughout the shot: The glistening stream stays beside the trail, bending with the path through ferns and dappled shade.
overall_soundscape: [00:00.000–00:08.000] Continuous soft babbling of the stream, with bright ripples and splashes over stones. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:01.000–00:07.600] Quiet, rhythmic padding of the bear's paws on moss and leaf litter; no growling. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:01.400–00:05.500] Distant, intermittent bird calls from the surrounding forest canopy. Its source is the surrounding environment, placed off screen.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-009,vidprom_50k,vidprom_50k-61cefe4806f681ce,acdc47077327f6c24d5ba894313153b34707946711f5ec43599a5d99b96b745f
17,52008,"integrated_multimodal_description: 视觉风格：自然主义、宁静的森林影像，有斑驳的阳光、翠绿的树叶和一条静静闪烁的溪流；画面运动保持缓慢而轻柔。场景：一片葱郁的绿色森林，旁边是一条清澈闪亮的溪流；一条长满苔藓的蜿蜒小径沿水边延伸，穿过蕨类植物和荫蔽的林下灌丛。时长：8 seconds。 [Shot 1, 00:00.000–00:04.200] 双人全景镜头。横向跟拍镜头以僧人的行走速度移动；僧人占据画面左侧，熊在其身后的小路上清晰可见，溪流在右侧闪烁。可见主体：一位身穿僧袍的僧人正以平静、从容的步伐沿着溪边小径行走。一条清澈的森林溪流位于小径旁，波光粼粼的水面流过覆有苔藓的石头。一头体型庞大、性情平静的棕色毛熊以稳定的距离跟在僧人身后，没有任何焦躁迹象。整个镜头中：僧人沿溪边小径以稳定从容的节奏行走，赭色僧袍随每一步轻轻摆动。整个镜头中：溪水闪闪发光，浅浅的溪水滑过小径旁光滑的、边缘生苔的石头。从00:00.800至00:04.200：在身后几步处，温顺的熊平静地缓步走着，爪子轻轻落在苔藓和散落的树叶上，沿着同一条路线跟随。 [Shot 2, 00:04.200–00:08.000] 中景过肩镜头。手持摄影机位于僧人身后稍偏左，在他继续前行时向前跟拍；熊在他身后的小路上始终清晰可见。整个镜头中：僧人平静地回头看了一眼熊，然后转回视线继续行走。整个镜头中：熊继续自在地跟在僧人身后，低着头，步速平稳，没有做出任何突然或攻击性的动作。整个镜头中：闪亮的溪流始终在小径旁，随着路径蜿蜒穿过蕨类植物和斑驳树荫。
overall_soundscape: [00:00.000–00:08.000] 持续轻柔的溪流潺潺声，伴有石头上的清亮涟漪与飞溅声。其声源是先前引入且位于画面中的对应主体。它与对应的可见动作同步。 [00:01.000–00:07.600] 熊掌踏在苔藓和落叶层上发出安静而有节奏的轻拍声；没有低吼。其声源是先前引入且位于画面中的对应主体。它与对应的可见动作同步。 [00:01.400–00:05.500] 周围森林树冠中传来遥远、间歇的鸟鸣。其声源是周围环境，位于画面外。
spoken_dialogue: 无。
non_diegetic_music: 无。
hard_constraints: 保留源提示中明确陈述的每一个主体、动作、属性、数量、关系、场景、镜头指令和风格约束。",zh,vp-009,vidprom_50k,vidprom_50k-61cefe4806f681ce,4176be9e5b8875f3baf748c229ff324f14a445403fc5a6740c40194166334494
20,52010,"integrated_multimodal_description: Visual style: Bright photorealistic daylight aerial scene with soft natural light and calm high-altitude atmosphere. Setting: High altitude open sky above a single large cumulus cloud; no ground or horizon; clear blue sky surrounds the cloud. Duration: 8 seconds. [Shot 1, 00:00.000–00:08.000] Wide aerial side view keeping both the airplane and the one large cumulus cloud in frame; airplane occupies roughly the upper third and crosses from left to right. Static camera suspended at airplane altitude, positioned off to the side so the airplane flies along the frame from left to right without camera movement. Visible subjects: Small white single-engine propeller airplane with a dark blue trim stripe and a visible three-blade propeller. One large, rounded sunlit cumulus cloud with a puffy top and flattish base. From 00:00.000 to 00:02.500: The white single-engine airplane glides rightward across clear blue sky while the large cumulus cloud sits ahead and below it, bright in sunlight. From 00:02.500 to 00:05.000: The airplane passes directly over the center of the cloud, and its soft shadow sweeps across the cloud's sunlit rounded top. From 00:05.000 to 00:08.000: The airplane continues rightward toward the frame edge while the cloud remains visible behind it, showing the airplane has crossed over the cloud.
overall_soundscape: [00:00.000–00:08.000] Steady, somewhat distant propeller drone and a soft rush of air around the airplane, matching its flight across the sky. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-011,vidprom_50k,vidprom_50k-6ccdb6cf74675ddf,9f5e039888a6b1986ab45af789ebae8becf0dc0ec001140531616a68c36e2260
21,52010,"integrated_multimodal_description: 视觉风格：明亮的照片级真实日光航拍场景，具有柔和的自然光线和宁静的高空氛围。场景：高海拔开阔天空，位于一朵大型积云上方；没有地面或地平线；晴朗的蓝天环绕着云朵。时长：8 seconds。[Shot 1, 00:00.000–00:08.000] 宽阔的空中侧视视角，将飞机和那朵大型积云同时保持在画面内；飞机大约占据画面上三分之一，从左向右穿越。静态摄影机悬停在飞机高度，位于侧面，使飞机从左向右飞过画面，摄影机不移动。可见主体：一架白色小型单引擎螺旋桨飞机，带有深蓝色装饰条纹和可见的三叶螺旋桨。一朵大型、圆润、受阳光照射的积云，顶部蓬松，底部较平坦。从 00:00.000 到 00:02.500：白色单引擎飞机在晴朗蓝天中向右滑行，大型积云位于其前方下方，在阳光中明亮。从 00:02.500 到 00:05.000：飞机直接从云朵中心上方经过，其柔和阴影扫过云朵受阳光照射的圆润顶部。从 00:05.000 到 00:08.000：飞机继续向右朝画面边缘移动，云朵在其后仍可见，表明飞机已经越过了云朵。
overall_soundscape: [00:00.000–00:08.000] 稳定、有些遥远的螺旋桨轰鸣声，以及飞机周围轻柔的空气呼啸声，与其飞越天空的过程相匹配。其声源是先前引入的对应主体，位于画面中。它与相应的可见动作同步。
spoken_dialogue: 无。
non_diegetic_music: 无。
hard_constraints: 保留源提示中明确陈述的每个主体、动作、属性、数量、关系、场景、摄影机指令和风格约束。",zh,vp-011,vidprom_50k,vidprom_50k-6ccdb6cf74675ddf,9aed996611135d37418b8ff0242470c73882c46fe5e08c6da92b3a8fd2016db3
22,52011,"integrated_multimodal_description: Visual style: Steampunk realism: brushed brass and copper machinery, amber lamp glow, pale green light from the chamber porthole, shallow focus, subtle drifting steam. Setting: A dim, cluttered steampunk laboratory. At center stands a tall riveted copper-and-brass pressure chamber with a round pale-green porthole and a large pressure gauge. The scientist is at arm's length from the chamber, facing its front, holding the chip near his chest. Duration: 8 seconds. [Shot 1, 00:00.000–00:08.000] Three-quarter medium close-up from the scientist's right, at chest height. The scientist's profile, hands, and the chip are in the foreground; the chamber porthole and pressure gauge are visible ahead in his line of sight. Locked-off camera on a tripod; no pan, tilt, or zoom. Visible subjects: A scientist in a white laboratory coat fastened with brass clasps, wearing brass-rimmed goggles pushed up on the head, and standing upright in front of the pressure chamber. A small steampunk microchip made of polished brass and dark garnet, with fine copper traces etched across its face and tiny copper pins along two edges. A tall vertical pressure chamber of riveted copper and brass, with a circular brass-framed porthole glowing pale green and a round pressure gauge with a thin needle near its rim. From 00:00.000 to 00:02.600: The scientist stands face-on to the pressure chamber, shoulders squared, holding the brass chip between both hands at chest height and turning it clockwise in deliberate quarter-turns; the green porthole light slides across the copper traces. From 00:02.600 to 00:05.200: The scientist flips the chip over in his fingertips, then rolls it through a counterclockwise half-turn while tilting his wrist; he briefly glances at the pressure gauge, where steam curl drifts past its brass face. From 00:05.200 to 00:08.000: The scientist completes one final ninety-degree turn, steadies the chip beneath his chin, and looks steadily at the chamber's porthole; as he holds the chip still, the pressure gauge needle nudges half a division with a faint metallic tick.
overall_soundscape: [00:00.000–00:08.000] Continuous low-pressure chamber hum with muffled boiler rumble, a soft steam hiss, and faint clockwork ticking from the surrounding laboratory. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:07.100–00:07.350] A single crisp metallic tick from the pressure gauge as its needle shifts half a division. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-012,vidprom_50k,vidprom_50k-91e1fea9b0d168b1,d80183a6757e7efaf92a212ee81ddcc9cfc9bd11a12bea4a81e1bc94ffd232da
23,52011,"integrated_multimodal_description: 视觉风格：蒸汽朋克写实：拉丝黄铜与铜制机械，琥珀色灯辉，来自压力舱舷窗的淡绿色光，浅景深，微微飘动的蒸汽。设定：一间昏暗、杂乱的蒸汽朋克实验室。中央矗立着一个由铆接铜与黄铜制成的高大压力舱，带有一个圆形淡绿色舷窗和一个大型压力表。科学家站在距压力舱一臂之遥，正对其正面，将芯片举在胸前。时长：8 seconds。[Shot 1, 00:00.000–00:08.000] 从科学家右侧、齐胸高度拍摄的四分之三侧面中近景。科学家的侧影、双手与芯片位于前景；压力舱舷窗和压力表在其视线前方可见。摄影机锁定在三脚架上；无摇摄、无俯仰、无变焦。可见主体：一位身穿白色实验服、以黄铜搭扣扣合、戴有推到头顶的黄铜框护目镜、笔直站在压力舱前的科学家。一枚由抛光黄铜和深色石榴石制成的小型蒸汽朋克微芯片，其表面蚀刻着精细的铜走线，两条边缘带有微小的铜引脚。一个由铆接铜与黄铜制成的高大立式压力舱，带有一个圆形黄铜框舷窗，发出淡绿色光，以及一个圆形压力表，其细指针靠近表盘边缘。从 00:00.000 到 00:02.600：科学家正对压力舱，双肩端平，双手将黄铜芯片持在胸前，并以审慎的四分之一圈将其顺时针转动；绿色舷窗光从铜走线上滑过。从 00:02.600 到 00:05.200：科学家用指尖将芯片翻面，然后在倾斜手腕的同时令它逆时针滚动半圈；他短暂瞥了一眼压力表，那里有一缕卷曲的蒸汽正飘过其黄铜表盘。从 00:05.200 到 00:08.000：科学家完成最后九十度转动，将芯片稳在下颌下方，并稳定地注视着压力舱的舷窗；当他保持芯片不动时，压力表指针轻轻移动了半个刻度，并伴有微弱的金属咔嗒声。
overall_soundscape: [00:00.000–00:08.000] 持续的低压舱嗡鸣，伴有低沉的锅炉隆隆声、柔和的蒸汽嘶嘶声，以及周围实验室传来的微弱发条滴答声。其声源是先前引入的对应主体，置于画面中。它与对应的可见动作同步。[00:07.100–00:07.350] 一声清脆的金属咔嗒声，来自压力表指针移动半格刻度之时。其声源是先前引入的对应主体，置于画面中。它与对应的可见动作同步。
spoken_dialogue: 无。
non_diegetic_music: 无。
hard_constraints: 保留源提示中明确陈述的每个主体、动作、属性、数量、关系、设定、镜头指示与风格约束。",zh,vp-012,vidprom_50k,vidprom_50k-91e1fea9b0d168b1,9414c7f9c077be0d69527f9e47ba3ad427bd63315ddcda3dba53d51e3a268328
