index,seed,prompt,language,pair_id,source_dataset,source_id,prompt_sha256
2,52001,"integrated_multimodal_description: Visual style: Gritty cinematic urban night chase, realistic polished CGI, dynamic camera movement, and long red-and-blue light casts on wet pavement. Setting: Wet four-lane city avenue at night with storefront lights, tall street lamps, scattered reflections, and a green traffic signal a block ahead. Duration: 8 seconds. [Shot 1, 00:00.000–00:03.500] Wide rear view of both cruisers, lead car in the left lane and trailing car in the right lane, with light bars strobing red and blue. Behind-tracking rig slightly above the pavement, holding a fixed distance while the cruisers accelerate down the street. Visible subjects: Lead marked police cruiser with an active red-and-blue light bar; it runs fast in the left lane of the avenue. Trailing marked police cruiser with an active red-and-blue light bar; it runs fast in the right lane about half a car length behind the lead cruiser. Throughout the shot: The two police cruisers run fast down the wet avenue in adjacent lanes; red-and-blue light bars pulse, streetlight reflections streak over the paint, and droplets and spray rise from the tires as the cars gain speed. [Shot 2, 00:03.500–00:08.000] Low roadside close-medium shot that widens as the cruisers pass, then recedes to show both cars shrinking toward the green traffic signal. Locked at the curb, then panning fluidly with the cruisers as they overtake the lens and continue down the block. Throughout the shot: The lead cruiser hurtles past the roadside camera, followed a beat later by the trailing cruiser; both continue accelerating toward the green traffic signal, and their flashing red-and-blue reflections shrink into the night.
overall_soundscape: [00:00.000–00:08.000] Low night-city hum: distant traffic, breeze around storefronts, and faint electrical buzz from street lamps. Its source is the surrounding environment, placed off screen. [00:00.000–00:08.000] Deep aggressive engine roar from the lead cruiser, rising steadily with acceleration. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:00.000–00:08.000] Piercing electronic wail from the lead cruiser's siren, rising in pitch as it approaches and fading after the pass-by. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:00.200–00:08.000] Second engine roar from the trailing cruiser, a half-beat behind the lead engine and fading slightly as it recedes. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:00.200–00:08.000] Second electronic siren wail from the trailing cruiser, interleaved with the lead siren and registering a Doppler shift as it goes past. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-002,vidprom_50k,vidprom_50k-2933700492d2c6a7,d0c69e296d196b87a8941b6016b48dc0d10d2fb6246d0c546392a52012e63cb3
3,52001,"integrated_multimodal_description:视觉风格：粗粝的电影感都市夜间追逐，写实精致的CGI，动态镜头运动，以及湿地上拖长的红蓝光投射。场景：夜间潮湿的四车道城市大道，沿街店面灯光、高耸路灯、零散反射，前方一个街区处有绿色交通信号灯。时长：8 seconds。[Shot 1, 00:00.000–00:03.500]两辆巡逻车的宽阔后方视角：前车在左侧车道，后车在右侧车道，灯条闪烁红蓝光。位于路面稍上方的后部跟拍装置保持固定距离，而巡逻车沿街道加速行驶。可见主体：前导带警用标识的巡逻车，亮着红蓝灯条；它在大道左侧车道快速行驶。后随带警用标识的巡逻车，亮着红蓝灯条；它在右侧车道快速行驶，比前导巡逻车落后约半个车身。贯穿整个镜头：两辆警用巡逻车在相邻车道上快速驶过潮湿大道；红蓝灯条脉动，街灯反射在漆面上拖曳出条纹，水滴和水雾随着车速加快从轮胎上扬起。[Shot 2, 00:03.500–00:08.000]路边低位中近景镜头，在巡逻车经过时拉宽，然后后退以显示两车逐渐缩小地驶向绿色交通信号灯。锁定在路缘，随后流畅地摇摄跟随巡逻车，它们从镜头旁超过并继续沿街道行驶。贯穿整个镜头：前导巡逻车从路边摄像机旁飞驰而过，片刻之后后随巡逻车跟上；两车继续加速驶向绿色交通信号灯，它们闪烁的红蓝反射缩小并融入夜色。
overall_soundscape:[00:00.000–00:08.000]低沉的夜间城市嗡嗡声：远处交通声、店铺周围的微风，以及街灯的微弱电流嗡嗡声。其声源是周围环境，位于画面外。[00:00.000–00:08.000]前导巡逻车发出的低沉猛烈的引擎轰鸣声，随着加速持续升高。其声源是先前已引入的对应主体，位于画面中。它与对应的可见动作同步。[00:00.000–00:08.000]前导巡逻车警笛发出的刺耳电子啸声，随着接近而音调升高，经过后逐渐消失。其声源是先前已引入的对应主体，位于画面中。它与对应的可见动作同步。[00:00.200–00:08.000]后随巡逻车的第二道引擎轰鸣声，比前导引擎晚半拍，并在退远时略微减弱。其声源是先前已引入的对应主体，位于画面中。它与对应的可见动作同步。[00:00.200–00:08.000]后随巡逻车的第二道电子警笛啸声，与前导警笛交织，并在经过时呈现出多普勒频移。其声源是先前已引入的对应主体，位于画面中。它与对应的可见动作同步。
spoken_dialogue:无。
non_diegetic_music:无。
hard_constraints:保留源提示中明确陈述的每个主体、动作、属性、数量、关系、场景、镜头指令和风格约束。",zh,vp-002,vidprom_50k,vidprom_50k-2933700492d2c6a7,3097cfd22df46b7b5f6376ed338a8103a90068f76dc6762e492ccbb34a5f890c
50,52025,"integrated_multimodal_description: Visual style: Naturalistic cinematic realism in warm, soft daylight; subtle film grain, shallow depth of field, muted blue-grey shadows, warm camel tones, and a few vivid red accents. Setting: A sunlit street in central London with pale paving stones, black iron railings, a red telephone box, white-fronted shops, and an adjacent road carrying slow traffic. Duration: 8 seconds. [Shot 1, 00:00.000–00:08.000] Medium three-quarter tracking shot from the waist up, keeping the girl's face and smile clearly readable while the London background remains soft and shallow. Steadicam glides smoothly forward and slightly to her left, matching her walking pace and holding focus on her face as the street drifts past. Visible subjects: A beautiful young Muslim girl, early twenties, wearing an olive-green hijab, a camel-colored long coat, dark trousers, and a tan leather handbag; her expression is relaxed and smiling. The visible London street environment: pavement, railings, shopfronts, the red telephone box, and the soft-focus background street. A red London double-decker bus passing on the adjacent road in the background. From 00:00.000 to 00:02.200: A beautiful young Muslim girl walks along the sunlit pavement at an easy pace, her olive-green hijab swaying slightly in the breeze and her face turned forward with a warm smile. From 00:02.200 to 00:05.400: She adjusts the leather strap of her handbag, glances down at a shallow puddle, and steps around it without breaking stride; her confident smile stays in view. From 00:05.400 to 00:08.000: She glances left as a red double-decker bus crosses the background on the adjacent road; she slows her stride slightly and continues with a brighter smile.
overall_soundscape: [00:00.000–00:08.000] Outdoor London street ambience: distant traffic, low bus rumble, pigeons, and faint human chatter from out of focus pedestrians. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:00.000–00:08.000] Rhythmic footsteps on pavement with the soft rustle of her long coat and handbag strap. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:05.400–00:07.800] The red double-decker bus engine approaches, passes, and fades with a brief airy whoosh. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-026,vidprom_50k,vidprom_50k-9b0aa3e016d2590c,1be68fbc1a8727b3d3b92a0d53b6be7c5a32432730bc703669f8f43612ba55a5
51,52025,"integrated_multimodal_description:视觉风格：自然主义电影写实风格，温暖柔和的日光；细微的胶片颗粒、浅景深、柔和的蓝灰阴影、暖驼色调，以及少量鲜艳的红色点缀。环境：伦敦市中心一条阳光明媚的街道，铺有浅色铺路石、黑色铁栏杆、一个红色电话亭、白色门面的商店，以及一条相邻的、车流缓慢的道路。时长：8 seconds。[Shot 1, 00:00.000–00:08.000]中景四分之三跟踪镜头，从腰部以上取景，让女孩的面部和微笑清晰可见，同时伦敦背景保持柔和浅景深。Steadicam平稳地向前滑动并略微向她左侧移动，配合她行走的步伐，并一直对焦于她的面部，街道从旁边掠过。可见主体：一位美丽的年轻穆斯林女孩，年约二十出头，头戴橄榄绿色头巾，身着驼色长外套、深色长裤，手拿一个棕褐色皮手袋；她的表情放松且微笑。可见的伦敦街道环境：人行道、栏杆、商店门面、红色电话亭和柔焦的背景街道。背景中一辆红色伦敦双层巴士正从相邻道路上驶过。从00:00.000到00:02.200：这位美丽的年轻穆斯林女孩以轻松的步伐走在阳光明媚的人行道上，橄榄绿色头巾在微风中轻轻摆动，面向前方，带着温暖的微笑。从00:02.200到00:05.400：她调整了手袋的皮革肩带，低头看了一眼浅水坑，然后绕过它，步伐未停；她自信的微笑仍然可见。从00:05.400到00:08.000：她向左瞥了一眼，这时一辆红色双层巴士正从相邻道路的背景中驶过；她稍稍放慢脚步，带着更加灿烂的笑容继续前行。
overall_soundscape:[00:00.000–00:08.000]Outdoor London街道环境声：远处的车流声、低沉的巴士隆隆声、鸽子声，以及来自失焦行人的微弱人声。其声源为对应的先前引入的主体，置于画面中。它与相应的可见动作同步。[00:00.000–00:08.000]人行道上有节奏的脚步声，伴随她长外套和手袋肩带的轻柔沙沙声。其声源为对应的先前引入的主体，置于画面中。它与相应的可见动作同步。[00:05.400–00:07.800]红色双层巴士引擎声靠近、经过后逐渐消失，并伴随短暂的气流嗖嗖声。其声源为对应的先前引入的主体，置于画面中。它与相应的可见动作同步。
spoken_dialogue:无。
non_diegetic_music:无。
hard_constraints:保留源提示中明确陈述的每一个主体、动作、属性、数量、关系、环境、镜头指令和风格约束。",zh,vp-026,vidprom_50k,vidprom_50k-9b0aa3e016d2590c,13dcbda1e0a7a245d1428268694f48c403d1836df2efd0a2d2dd3f6b0d57cb7e
72,52036,"integrated_multimodal_description: Visual style: Dark aerial-noir cityscape: deep blue-black shadows, glowing amber and cool-white window lights, low drifting haze, and one smooth overhead aerial pan across the metropolis. Setting: Gotham City at night, seen from an overhead aerial vantage point; a dense urban basin of angular towers, rooftops, streets, and lights stretching toward a hazy horizon. Duration: 8 seconds. [Shot 1, 00:00.000–00:08.000] High-angle overhead wide frame looking down at Gotham City; the city fills the view with no clear horizon until the far edge. Unbroken aerial pan: the camera drifts smoothly above the rooftops while panning from the western side of the city toward the downtown core, keeping a constant overhead altitude. Visible subjects: Gotham City itself as the visible landscape below: dark angular skyscrapers, rooftop clusters, glowing windows, weather-stained towers, and long street canyons. From 00:00.000 to 00:03.600: From directly over the city, the view slides east over a dense bed of dark roofs, rooftop vents, antennas, and tiny lit windows steadily passing beneath the frame. From 00:03.600 to 00:08.000: The aerial pan continues across a broad avenue where headlights and taillights trace two glowing curves; haze blurs the far downtown towers, then a low bridge with a chain of lights enters the upper edge of the frame.
overall_soundscape: [00:00.000–00:08.000] Wide and muted city ambience: distant traffic drone, scattered mechanical rooftop hums, faint car horns far below, and a thin high wind around the aerial vantage point. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-037,vidprom_50k,vidprom_50k-0150eea00acd94de,4ed9f3518511ef3344df10f31b43aa50f774da7d527c640600366b98321f15f3
73,52036,"integrated_multimodal_description: 视觉风格：暗色空中黑色电影式城市景观：深蓝黑色阴影、发光的琥珀色与冷白色窗户灯光、低处飘浮的薄雾，以及一次平滑的俯视航拍摇摄扫过整座大都市。场景：Gotham City在夜间，从空中俯瞰视角观看；一片由棱角分明的塔楼、屋顶、街道和灯光构成的密集城市盆地，向朦胧的地平线延伸。时长：8 seconds。[Shot 1, 00:00.000–00:08.000] 高角度俯拍宽画幅，向下注视Gotham City；城市充满画面，直到远处边缘都没有清晰的地平线。不间断的空中摇摄：镜头在屋顶上方平滑漂移，同时从城市西侧向市中心核心区摇摄，保持恒定的俯视高度。可见主体：Gotham City本身作为下方可见的景观：深色棱角分明的摩天大楼、屋顶群、发光的窗户、受风雨侵蚀的塔楼，以及长长的街道峡谷。从00:00.000到00:03.600：从城市正上方，视野向东滑过一片密集的深色屋顶、屋顶通风口、天线和微小的亮窗，稳定地从画面下方经过。从00:03.600到00:08.000：空中摇摄继续穿过一条宽阔的大道，车头灯和尾灯勾勒出两道发光曲线；薄雾使远处市中心的塔楼变得模糊，随后一座带有一串灯光的低矮桥梁进入画面上缘。
overall_soundscape: [00:00.000–00:08.000] 开阔而低沉的城市场景环境音：远处交通的持续低鸣、零星的屋顶机械嗡声、远处下方微弱的汽车喇叭声，以及空中视点周围细弱而高亢的风声。其声源是此前引入的对应主体，置于画面上。它与对应的可见动作同步。
spoken_dialogue: 无。
non_diegetic_music: 无。
hard_constraints: 保留源提示中明确陈述的每个主体、动作、属性、数量、关系、场景、镜头指令和风格约束。",zh,vp-037,vidprom_50k,vidprom_50k-0150eea00acd94de,86de9edf333c2fa803c48b59e76c8466a063a5c5bdafe85e24b025e123fa4f64
90,52045,"integrated_multimodal_description: Visual style: Close-up, realistic tabletop feel with rich cardboard, paper, and miniature textures; warm practical lighting; subtle shallow depth of field and a gentle magical glow from inside the open box. Setting: A wooden tabletop in a softly lit room. A closed fantasy board game box sits centered, with clear space for the lid to be set down beside it. Duration: 8 seconds. [Shot 1, 00:00.000–00:02.700] Top-down high-angle medium shot centered on the closed game box with wooden table visible around it. Gentle push-in toward the box while keeping the lid and hands in frame. Visible subjects: Two anonymous adult hands entering from the edges of the frame to open the box; no gloves or jewelry, natural skin texture, short nails. An ornate fantasy board game box with painted dragon-and-castle artwork, embossed gold trim, and a close-fitting lid over a deep tray. From 00:00.000 to 00:01.350: The hands glide into frame from the lower left and lower right and approach the lid's rim on either side. From 00:01.350 to 00:02.700: Fingertips hook beneath the lid edge while thumbs rest on the painted artwork; the cardboard edge flexes slightly as the hands prepare to lift. [Shot 2, 00:02.700–00:05.400] Low side-angle medium close-up at table height, game box in profile so the lid detachment is clearly readable. Slow arc toward the opening box mouth. From 00:02.700 to 00:04.000: The hands lift the lid straight upward; a thin band of warm golden light appears along the opening seam and expands beneath the rising lid. From 00:04.000 to 00:05.400: With the lid held just above the tray, the interior is revealed: a folded game board, a rulebook, and a transparent insert holding painted miniatures, all glowing faintly in the warm light. [Shot 3, 00:05.400–00:08.000] Slightly high close-up above the open tray, with contents visible and a section of table where the lid is set down on the left. Static except for a subtle focus pull from the set-down lid to the miniature tray. From 00:05.400 to 00:06.800: The hands tilt the lid to the left and set it down on its back beside the tray, showing the dragon artwork face-up. From 00:06.800 to 00:08.000: The hands release the box as it settles a few millimeters; the painted miniatures shift slightly in their insert and the warm glow softens to a quiet glint.
overall_soundscape: [00:00.000–00:08.000] Very low room tone with faint indoor air movement and occasional distant wood creak. Its source is the surrounding environment, placed off screen. [00:01.400–00:02.750] Dry paper-and-cardboard rustle as fingers find and press the lid rim. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:02.750–00:05.400] Smooth cardboard-on-tray slide as the lid lifts, followed by a soft magical shimmer while the warm glow emerges. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:05.500–00:06.800] Cardboard hiss as the lid moves sideways, ending with a gentle thump on the table. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:06.850–00:08.000] Tiny plastic-to-insert click and faint resonant chime as the contents settle. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-046,vidprom_50k,vidprom_50k-dae62c9d727d0c38,ef51b366266a623da2b1779df07e7fabf830a8a9eb07f1cf74a5649d2a7d073a
91,52045,"integrated_multimodal_description: 视觉风格：特写，逼真的桌面质感，带有丰富的纸板、纸张和微缩模型纹理；温暖的实际照明；微妙的浅景深，以及从打开的盒子内部发出的柔和魔法光芒。场景：一间光线柔和的房间内的木质桌面上。一个合上的幻想主题桌游盒居中放置，旁边有明确的空位可放下盒盖。时长：8 seconds。 [Shot 1, 00:00.000–00:02.700] 俯拍高角度中景镜头，以合上的游戏盒为中心，周围可见木质桌面。向盒子缓慢推进，同时将盒盖和双手保持在画面内。可见主体：两只身份不明的成年人手从画面边缘伸入以打开盒子；无手套或首饰，自然皮肤质感，短指甲。一个华丽的幻想主题桌游盒，带有绘有龙与城堡的图案、压花金边，以及一个紧密覆盖深托盘的盒盖。从 00:00.000 至 00:01.350：双手从画面左下和右下滑入画面，并从两侧靠近盒盖边缘。从 00:01.350 至 00:02.700：指尖勾住盒盖边缘下方，拇指搁在彩绘图案上；当双手准备抬起时，纸板边缘微微弯曲。[Shot 2, 00:02.700–00:05.400] 与桌面等高的低侧角中近景，游戏盒呈侧面，盒盖脱离清晰可辨。缓慢弧线移向正在打开的盒口。从 00:02.700 至 00:04.000：双手垂直向上提起盒盖；一道细暖金色光带沿开口接缝出现，并在升起的盒盖下方扩展。从 00:04.000 至 00:05.400：当盒盖被举在托盘正上方时，内部显露出来：一块折叠的游戏板、一本规则书，以及一个装有彩绘微缩模型的透明内衬，全部在暖光中隐约发光。[Shot 3, 00:05.400–00:08.000] 在打开的托盘上方略高角度特写，内容物可见，左侧台面上有一处用于放下盒盖的区域。镜头静止，只是从放下的盒盖到微缩模型托盘有细微的焦点变化。从 00:05.400 至 00:06.800：双手将盒盖向左倾斜，并把它背面朝下放在托盘旁边，使龙与城堡彩绘正面朝上。从 00:06.800 至 00:08.000：盒子沉降几毫米时双手松开；彩绘微缩模型在内衬中微微移动，暖光减弱为一道安静的微光。
overall_soundscape: [00:00.000–00:08.000] 极低的房间环境声，伴有微弱的室内空气流动声和偶尔远处木头的嘎吱声。其声源是周围环境，置于画外。 [00:01.400–00:02.750] 在手指找到并按压盒盖边缘时，发出干燥的纸与纸板摩擦沙沙声。其声源是先前已引入的对应主体，置于画面内。它与对应的可见动作同步。 [00:02.750–00:05.400] 盒盖抬起时纸板在托盘上平滑滑动的声音；随后在暖光出现时，响起柔和的魔法闪烁声。其声源是先前已引入的对应主体，置于画面内。它与对应的可见动作同步。 [00:05.500–00:06.800] 盒盖横向移动时纸板的嘶嘶声，最后在桌上发出一声轻柔的闷响。其声源是先前已引入的对应主体，置于画面内。它与对应的可见动作同步。 [00:06.850–00:08.000] 内容物落定时，塑料与内衬之间发出微小的咔嗒声和微弱的共鸣铃声。其声源是先前已引入的对应主体，置于画面内。它与对应的可见动作同步。
spoken_dialogue: 无。
non_diegetic_music: 无。
hard_constraints: 保留源提示中明确陈述的每一个主体、动作、属性、数量、关系、场景、镜头指示和风格约束。",zh,vp-046,vidprom_50k,vidprom_50k-dae62c9d727d0c38,b0dbb5d8d4436daff6e4e76e458a8ae3e3cf124aa7ee81ed6c7e7f328b21b4ef
120,52060,"integrated_multimodal_description: Visual style: Ukiyo-e woodblock-print rendering after Hokusai: flat color planes, bold contour lines, subtle wood-grain texture, muted Prussian blue, indigo, cream and vermilion accents, and deliberate negative space. Setting: The Seine River in Paris under a wide pale sky, with the Eiffel Tower on the far bank and a lone wooden sailboat moving across the foreground water. Duration: 8 seconds. [Shot 1, 00:00.000–00:08.000] Very wide, low-angle static composition with the Eiffel Tower placed in the upper left background and the sailboat crossing in the lower foreground. Stationary camera at river level; no movement. Visible subjects: A small wooden sailboat with a single pale cream sail, a low curved hull, and a thin wooden tiller, drawn with bold Ukiyo-e outlines. The stylized surface of the Seine, carrying gentle Prussian-blue wave scrolls and soft ripple lines inspired by Hokusai's water patterns. A distant Eiffel Tower on the riverbank, simplified into a Hokusai-flattened lattice silhouette against the pale sky. From 00:00.000 to 00:03.000: The small wooden sailboat slides unhurriedly from the right side of the frame toward the center, its cream sail curved by a light breeze and its hull cutting a soft V-shaped wake across the Seine. From 00:03.000 to 00:05.500: The sailboat passes the midpoint of the composition; low wave swells roll around the hull, while the Eiffel Tower remains crisply silhouetted in the upper-left background against the open sky. From 00:05.500 to 00:08.000: The sailboat gradually recedes toward the left edge of the frame, its sail turning slightly oblique as the trailing wake fans out and the Eiffel Tower holds the background in flat, linear perspective.
overall_soundscape: [00:00.000–00:08.000] Soft rhythmic lapping of river water and a gentle, continuous hiss from the boat's wake trailing behind the hull. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:03.200–00:05.800] Faint dry wood creaks and light canvas flutters from the sail and hull as the boat rocks gently on the river. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vb-061,vbench,vbench-1478c3612668c5bd,6397bc49019139e49f28381eaeea5ff98bfd7ba1db6caa34e12fed3dade4072b
121,52060,"integrated_multimodal_description: 视觉风格：仿葛饰北斋的浮世绘木刻版画渲染：平涂色面、大胆的轮廓线、微妙的木纹质感、柔和的普鲁士蓝、靛蓝、奶油色与朱红色点缀，以及刻意的负空间。场景：The Seine River位于巴黎开阔淡白的天空下，远岸是Eiffel Tower，前景水面上有一艘孤独的木帆船正在移动。时长：8 seconds。[Shot 1, 00:00.000–00:08.000] 极宽的低角度静态构图，Eiffel Tower位于左上背景，帆船在下方前景横穿。固定摄影机位于河面高度；无运动。可见主体：一只小木帆船，带有单面淡奶油色的帆、低矮的弧形船体和细长的木质舵柄，以粗犷的浮世绘轮廓线绘制。塞纳河风格化的水面，带有柔和的普鲁士蓝波浪卷纹和受葛饰北斋水纹启发的轻柔涟漪线。远处河岸上的Eiffel Tower，被简化成淡白天空下葛饰北斋式压平的格子剪影。从 00:00.000 到 00:03.000：小木帆船不慌不忙地从画面右侧向中央滑行，奶油色的帆被微风吹弯，船体在塞纳河上划出一道柔和的V形尾波。从 00:03.000 到 00:05.500：帆船经过构图的中点；低矮的涌浪在船体周围翻卷，而 Eiffel Tower 在左上背景中，在开阔天空的映衬下保持清晰的剪影。从 00:05.500 到 00:08.000：帆船逐渐向画面左缘退去，其帆略微倾斜，拖曳的尾流呈扇形展开，Eiffel Tower 将背景保持在扁平的线性透视中。
overall_soundscape: [00:00.000–00:08.000] 河水轻柔而有节奏的拍打声，以及来自船体后方拖曳尾流的轻柔、持续的嘶嘶声。其声源是先前引入的对应主体，置于画面中。它与对应的可见动作同步。[00:03.200–00:05.800] 当船在河上轻轻摇晃时，船帆与船体发出微弱的干木吱嘎声和轻微的帆布扑动声。其声源是先前引入的对应主体，置于画面中。它与对应的可见动作同步。
spoken_dialogue: 无。
non_diegetic_music: 无。
hard_constraints: 保留源提示中明确陈述的每个主体、动作、属性、数量、关系、场景、摄影机指令和风格约束。",zh,vb-061,vbench,vbench-1478c3612668c5bd,7746fa4780fa3608e1b9bd0326810c90d0fa8380ad043d8d8b39a2d09b75fcbc
