index,seed,prompt,language,pair_id,source_dataset,source_id,prompt_sha256
0,52000,"integrated_multimodal_description: Visual style: Naturalistic wildlife footage realism: bright natural tropical daylight, softly rippled turquoise water, visible wet sand and spray, muted earthy tones on the dingo and an aged boat hull. Setting: A remote Australian island beach in warm daylight: pale sand slopes gently into turquoise shallows, and a small weathered fishing boat sits at anchor roughly ten metres offshore. Duration: 8 seconds. [Shot 1, 00:00.000–00:02.900] Wide, low waterline view showing the dingo, wet sand, turquoise water, and the small fishing boat ahead. Steady push-in following the dingo as it leaves the waterline and begins to swim. Visible subjects: A lean wild dingo with sandy-tawny fur, a white chest, dark-tipped ears, and a long bushy tail; its coat becomes wet and darker as it swims. A soft, scrub-lined Australian island beach with a wet sand margin and low tidelines. Clear turquoise nearshore water, shallow enough to show the sandy bottom near the beach and deeper around the anchored boat. A small near-shore fishing boat with a weathered teal-green hull, a single small outboard motor, anchor line, and open cockpit. Throughout the shot: A wild dingo crosses the wet sand, enters the water, and begins a paddling swim out toward the small fishing boat anchored in the shallows ahead. [Shot 2, 00:02.900–00:05.400] Medium side view of the dingo's head and shoulders above the water, with its wake visible and the boat in the background. Handheld lateral tracking that keeps pace with the swimming dingo. Throughout the shot: The dingo swims with rhythmic foreleg strokes, its head and back just above the surface, droplets trailing from its muzzle, while the boat bobs closer. [Shot 3, 00:05.400–00:08.000] Close, water-level framing on the dingo at the boat hull, with the background beach softly blurred. Low, gently bobbing angle held beside the boat as the dingo reaches it. Throughout the shot: The dingo reaches the small fishing boat, treads water beside the hull, and raises its wet forepaws to press against the boat's side, making the hull sway slightly.
overall_soundscape: [00:00.000–00:08.000] Clear island seascape ambience: low wavelets rolling onto sand, soft water slap around the hull, and distant surf. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:00.250–00:05.600] Rhythmic wet splashes and quiet paddling strokes as the dingo swims, with a heavier entry splash near the start. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:05.500–00:07.900] Soft creak and low thump as the dingo presses its wet forepaws against the weathered hull, followed by water lapping at the anchor line. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-001,vidprom_50k,vidprom_50k-eeb41a030c9d2d06,62d0c224873e4e611bd94586272c476dc06e41ab5f61bdfdce02a92600ec3369
1,52000,"integrated_multimodal_description: 视觉风格：自然主义野生动物影像写实感：明亮的自然热带日光，微起波纹的蓝绿色水面，可见的湿沙和水花，以及澳洲野狗与陈旧船体上柔和的土色调。场景：一座偏远的澳大利亚岛屿海滩，在温暖的日光下：浅色沙坡缓缓没入蓝绿色的浅水区，一艘小型饱经风霜的渔船抛锚停泊在离岸约十米处。时长：8 seconds。[Shot 1, 00:00.000–00:02.900] 宽阔的低水线视角，展示澳洲野狗、湿沙、蓝绿色水面以及前方的小渔船。稳定的推近镜头跟随澳洲野狗离开水线并开始游泳。可见主体：一只精瘦的野生澳洲野狗，沙褐色皮毛，白色胸口，深色耳尖，长而蓬松的尾巴；它在游泳时皮毛变湿、颜色变深。一条柔软的、边缘长有灌木的澳大利亚岛屿海滩，带有湿沙边缘和低低的潮痕。清澈的蓝绿色近岸水域，靠近海滩处浅得足以看见沙底，锚泊船周围则更深。一艘小型近岸渔船，有风化的蓝绿色船体、一台小型舷外发动机、锚绳和开放式座舱。整个镜头中：一只野生澳洲野狗穿过湿沙，进入水中，开始以划水的姿势游向停泊在前方浅水区的小渔船。[Shot 2, 00:02.900–00:05.400] 中景侧面视角，显示澳洲野狗露出水面的头部和肩膀，尾迹清晰可见，渔船在背景中。手持横向跟拍，与正在游泳的澳洲野狗保持同步。整个镜头中：澳洲野狗有节奏地划动前腿游泳，头部和背部刚露出水面，水珠从口鼻处滴落，同时小船起伏着靠近。[Shot 3, 00:05.400–00:08.000] 特写、与水面齐平的取景框住船体旁的澳洲野狗，背景中的海滩柔和虚化。在船边保持低角度、轻轻起伏，这时澳洲野狗到达船旁。整个镜头中：澳洲野狗到达小渔船，在船体旁踩水，抬起湿漉漉的前爪按在船侧，使船体微微摇晃。
overall_soundscape: [00:00.000–00:08.000] 清晰的岛屿海景环境声：低矮的细浪卷上沙滩，船体周围轻柔的水拍声，以及远处的拍岸浪声。其声源是先前引入的相应主体，置于画面中。它与相应的可见动作同步。[00:00.250–00:05.600] 澳洲野狗游泳时有节奏的湿溅水声和轻柔的划水声，开始处附近有一声较重的入水飞溅声。其声源是先前引入的相应主体，置于画面中。它与相应的可见动作同步。[00:05.500–00:07.900] 澳洲野狗用湿前爪按压风化的船体时，发出轻柔的嘎吱声和低沉的闷响，随后水拍打锚绳。其声源是先前引入的相应主体，置于画面中。它与相应的可见动作同步。
spoken_dialogue: 无。
non_diegetic_music: 无。
hard_constraints: 保留源提示中明确陈述的每一个主体、动作、属性、数量、关系、场景、镜头指示和风格约束。",zh,vp-001,vidprom_50k,vidprom_50k-eeb41a030c9d2d06,816abcc63f401efa8dff09afeed56adb35a9de8149091efc7db063f1b8d4fb3a
2,52001,"integrated_multimodal_description: Visual style: Gritty cinematic urban night chase, realistic polished CGI, dynamic camera movement, and long red-and-blue light casts on wet pavement. Setting: Wet four-lane city avenue at night with storefront lights, tall street lamps, scattered reflections, and a green traffic signal a block ahead. Duration: 8 seconds. [Shot 1, 00:00.000–00:03.500] Wide rear view of both cruisers, lead car in the left lane and trailing car in the right lane, with light bars strobing red and blue. Behind-tracking rig slightly above the pavement, holding a fixed distance while the cruisers accelerate down the street. Visible subjects: Lead marked police cruiser with an active red-and-blue light bar; it runs fast in the left lane of the avenue. Trailing marked police cruiser with an active red-and-blue light bar; it runs fast in the right lane about half a car length behind the lead cruiser. Throughout the shot: The two police cruisers run fast down the wet avenue in adjacent lanes; red-and-blue light bars pulse, streetlight reflections streak over the paint, and droplets and spray rise from the tires as the cars gain speed. [Shot 2, 00:03.500–00:08.000] Low roadside close-medium shot that widens as the cruisers pass, then recedes to show both cars shrinking toward the green traffic signal. Locked at the curb, then panning fluidly with the cruisers as they overtake the lens and continue down the block. Throughout the shot: The lead cruiser hurtles past the roadside camera, followed a beat later by the trailing cruiser; both continue accelerating toward the green traffic signal, and their flashing red-and-blue reflections shrink into the night.
overall_soundscape: [00:00.000–00:08.000] Low night-city hum: distant traffic, breeze around storefronts, and faint electrical buzz from street lamps. Its source is the surrounding environment, placed off screen. [00:00.000–00:08.000] Deep aggressive engine roar from the lead cruiser, rising steadily with acceleration. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:00.000–00:08.000] Piercing electronic wail from the lead cruiser's siren, rising in pitch as it approaches and fading after the pass-by. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:00.200–00:08.000] Second engine roar from the trailing cruiser, a half-beat behind the lead engine and fading slightly as it recedes. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:00.200–00:08.000] Second electronic siren wail from the trailing cruiser, interleaved with the lead siren and registering a Doppler shift as it goes past. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-002,vidprom_50k,vidprom_50k-2933700492d2c6a7,d0c69e296d196b87a8941b6016b48dc0d10d2fb6246d0c546392a52012e63cb3
3,52001,"integrated_multimodal_description:视觉风格：粗粝的电影感都市夜间追逐，写实精致的CGI，动态镜头运动，以及湿地上拖长的红蓝光投射。场景：夜间潮湿的四车道城市大道，沿街店面灯光、高耸路灯、零散反射，前方一个街区处有绿色交通信号灯。时长：8 seconds。[Shot 1, 00:00.000–00:03.500]两辆巡逻车的宽阔后方视角：前车在左侧车道，后车在右侧车道，灯条闪烁红蓝光。位于路面稍上方的后部跟拍装置保持固定距离，而巡逻车沿街道加速行驶。可见主体：前导带警用标识的巡逻车，亮着红蓝灯条；它在大道左侧车道快速行驶。后随带警用标识的巡逻车，亮着红蓝灯条；它在右侧车道快速行驶，比前导巡逻车落后约半个车身。贯穿整个镜头：两辆警用巡逻车在相邻车道上快速驶过潮湿大道；红蓝灯条脉动，街灯反射在漆面上拖曳出条纹，水滴和水雾随着车速加快从轮胎上扬起。[Shot 2, 00:03.500–00:08.000]路边低位中近景镜头，在巡逻车经过时拉宽，然后后退以显示两车逐渐缩小地驶向绿色交通信号灯。锁定在路缘，随后流畅地摇摄跟随巡逻车，它们从镜头旁超过并继续沿街道行驶。贯穿整个镜头：前导巡逻车从路边摄像机旁飞驰而过，片刻之后后随巡逻车跟上；两车继续加速驶向绿色交通信号灯，它们闪烁的红蓝反射缩小并融入夜色。
overall_soundscape:[00:00.000–00:08.000]低沉的夜间城市嗡嗡声：远处交通声、店铺周围的微风，以及街灯的微弱电流嗡嗡声。其声源是周围环境，位于画面外。[00:00.000–00:08.000]前导巡逻车发出的低沉猛烈的引擎轰鸣声，随着加速持续升高。其声源是先前已引入的对应主体，位于画面中。它与对应的可见动作同步。[00:00.000–00:08.000]前导巡逻车警笛发出的刺耳电子啸声，随着接近而音调升高，经过后逐渐消失。其声源是先前已引入的对应主体，位于画面中。它与对应的可见动作同步。[00:00.200–00:08.000]后随巡逻车的第二道引擎轰鸣声，比前导引擎晚半拍，并在退远时略微减弱。其声源是先前已引入的对应主体，位于画面中。它与对应的可见动作同步。[00:00.200–00:08.000]后随巡逻车的第二道电子警笛啸声，与前导警笛交织，并在经过时呈现出多普勒频移。其声源是先前已引入的对应主体，位于画面中。它与对应的可见动作同步。
spoken_dialogue:无。
non_diegetic_music:无。
hard_constraints:保留源提示中明确陈述的每个主体、动作、属性、数量、关系、场景、镜头指令和风格约束。",zh,vp-002,vidprom_50k,vidprom_50k-2933700492d2c6a7,3097cfd22df46b7b5f6376ed338a8103a90068f76dc6762e492ccbb34a5f890c
4,52002,"integrated_multimodal_description: Visual style: Bright, candid, joyful realism with saturated confetti colors, warm natural window light, shallow depth of field, and gentle handheld energy. Setting: A small college dorm room with a loft bed, a desk holding a laptop and textbooks, a corkboard with snapshots, warm string lights along the wall, a sunlit window, and an open floor area with a round braided rug. Duration: 8 seconds. [Shot 1, 00:00.000–00:08.000] Medium shot centered on the student, with the dorm-room background and falling confetti visible around him. Steady handheld camera at chest height; it tilts upward to follow the jump and confetti release, then drifts downward with the landing and reframes slightly for the second hop. Visible subjects: A young college-student boy around 19 years old, wearing a bright yellow t-shirt, blue athletic shorts, and socks; his expression is joyful and energetic. Dozens of lightweight paper confetti pieces in magenta, cyan, yellow, and green, roughly two to three centimeters across, fluttering easily in the air. From 00:00.000 to 00:01.000: The student stands on the round braided rug with knees softly bent, a pinch of confetti raised near his shoulder, smiling and glancing upward. From 00:01.000 to 00:02.800: He drops into a quick crouch and springs upward off the rug, both arms sweeping overhead and feet leaving the floor as the camera tilts up to keep him centered. From 00:02.100 to 00:02.700: At the high point of the jump, he opens his right hand above his head and the confetti bursts outward in a bright fan of magenta, cyan, yellow, and green pieces. From 00:02.400 to 00:05.600: The confetti pieces swirl, tumble, and catch the window light as they float downward around his head, shoulders, and torso. From 00:02.800 to 00:04.200: He lands softly on the rug with bent knees and arms spread wide, laughing as confetti pieces brush past his face and settle on his hair and sleeves. From 00:04.200 to 00:05.600: He turns a little and does one smaller celebratory hop with both arms open, stirring nearby confetti into soft curls around his waist. From 00:05.600 to 00:08.000: He stands still with his head tilted back and arms gently open, beaming as the remaining confetti drifts onto the rug, his shoulders, and his outstretched hands.
overall_soundscape: [00:00.000–00:08.000] Close, quiet dorm-room room tone with a faint heating vent hum and a low wooden-room resonance. Its source is The visible dorm-room interior with its furniture, window, and braided rug; the source of the quiet indoor room tone., placed on screen. [00:01.000–00:05.600] Soft socked-foot scuff on the rug, fabric whoosh as he launches, and two cushioned landing thumps for the first jump and the smaller hop. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:02.100–00:08.000] Dry papery crackle and hiss from the released confetti, followed by light fluttering and brushing sounds as pieces contact the student, his clothing, and the rug. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-003,vidprom_50k,vidprom_50k-cb014d0cf8bb994d,e93e88a28e663ff93e607b66cbeb8f12bce1e7f8a993dc47a80784e416a12fe4
5,52002,"integrated_multimodal_description: 视觉风格：明亮、自然、欢乐的写实风格，搭配饱和的彩纸屑色彩，温暖的自然窗光，浅景深，轻柔的手持动感。场景：一间小型大学宿舍房间，配有高架床、一张放着笔记本电脑和教科书的书桌、一面贴有快照的软木板、沿墙的暖色串灯、一扇阳光射入的窗户，以及一处铺着圆形编织地毯的开阔地面区。时长：8 seconds。[Shot 1, 00:00.000–00:08.000] 中景镜头以学生为中心，宿舍背景和飘落的彩纸屑在他周围可见。手持摄像机平稳地置于胸部高度；它上仰跟随跳跃和彩纸屑释放，然后随落地向下漂移，并为第二次弹跳稍微重新构图。可见主体：一个约 19 岁的年轻大学男生，身穿亮黄色T恤、蓝色运动短裤和袜子；他的表情欢快而充满活力。几十片轻质纸彩纸屑，有洋红色、青色、黄色和绿色，约两三厘米宽，在空中轻盈飘动。从 00:00.000 到 00:01.000：该学生站在圆形编织地毯上，双膝微弯，一小撮彩纸屑举在肩旁，微笑着向上瞥视。从 00:01.000 到 00:02.800：他迅速下蹲，从地毯上向上弹起，双臂挥过头顶，双脚离地，同时摄像头上仰以保持他居中。从 00:02.100 到 00:02.700：在跳跃最高点，他在头顶张开右手，彩纸屑向外迸溅成一片明亮的扇形，包含洋红色、青色、黄色和绿色纸片。从 00:02.400 到 00:05.600：彩纸屑旋转、翻滚，绕着他的头、肩和躯干向下飘落，同时捕捉窗光。从 00:02.800 到 00:04.200：他双膝弯曲、双臂张开，轻轻落在地毯上，笑出声来，彩纸屑擦过他的脸，落在他的头发和衣袖上。从 00:04.200 到 00:05.600：他微微转身，双臂张开做了个较小的庆祝性跳跃，搅动起附近的彩纸屑在腰际绕成轻柔的卷曲。从 00:05.600 到 00:08.000：他静静地站着，头向后仰，双臂轻轻张开，笑容满面，剩余的彩纸屑飘落在地毯、他的肩膀和他伸出的双手上。
overall_soundscape: [00:00.000–00:08.000] 近距、安静的宿舍房间环境声，带有微弱的暖气出风口嗡鸣声和低沉的木质房间共鸣。其声源是可见的宿舍室内环境，连同其家具、窗户和编织地毯，即这一安静室内环境声的来源，位于画面中。[00:01.000–00:05.600] 穿着袜子的脚在地毯上轻轻摩擦的声音，他起跳时衣料发出的嗖声，以及第一次跳跃和较小小跳的两声缓冲落地闷响。其声源是先前引入的相应主体，位于画面中。它与相应的可见动作同步。[00:02.100–00:08.000] 释放出的彩纸屑发出干燥如纸的噼啪声和嘶嘶声，接着是纸片接触学生、他的衣服和地毯时的轻微飘动和摩擦声。其声源是先前引入的相应主体，位于画面中。它与相应的可见动作同步。
spoken_dialogue: 无。
non_diegetic_music: 无。
hard_constraints: 保留源提示中明确陈述的每个主体、动作、属性、数量、关系、场景、镜头指令和风格约束。",zh,vp-003,vidprom_50k,vidprom_50k-cb014d0cf8bb994d,368920ef37e29f42ee39833197d0ab54e2d3824e7dfd6b16228116f17db18248
6,52003,"integrated_multimodal_description: Visual style: Bright stylized low-poly 3D animation in an isometric video-game diorama; clean key lighting, saturated turf and pale stone, near-orthographic depth, and subtle aerial haze. Setting: A high shelf of low-poly checkerboard grassland broken by faceted crystal spires and a winding pale road; the shelf ends at a hazy valley with distant wind turbines beneath a pale-blue gradient sky. Duration: 8 seconds. [Shot 1, 00:00.000–00:03.200] Extreme wide high-angle isometric composition showing the robot small against the landscape. Static locked high-angle camera aligned to the isometric grid; no movement. Visible subjects: A complex articulated scout robot with polished gunmetal plating, a teardrop main body, four segmented limbs folded beneath it, twin under-slung turbine pods, and a glowing cyan sensor strip across its head. The isometric low-poly landscape below the robot: checkerboard grass blocks, faceted crystal spires, a pale winding road, a plateau rim, and a hazy valley with distant wind turbines. Throughout the shot: The robot flies diagonally across the isometric view with its limbs folded; sunlight glints on its panels, the cyan sensor strip glows, and a crisp moving shadow tracks over the grass blocks below. [Shot 2, 00:03.200–00:05.600] Closer high-angle isometric view centered on a cluster of crystal spires and the passing robot. Static closer high-angle camera preserving the same diagonal isometric orientation; no movement. Throughout the shot: The robot reaches the crystal spires, banks slightly, and fires two short vernier counter-pulses; the nearest faceted crystal flashes brightly as the robot passes close beside it. [Shot 3, 00:05.600–00:08.000] Wide isometric shot with the robot shrinking near the plateau rim and distant turbines. Static wide high-angle camera, same isometric orientation as the opening shot; held until the end. Throughout the shot: The robot clears the plateau rim, levels out, and recedes toward the distant wind turbines; slender white exhaust trails thin and dissipate behind it while dust drifts off the pale road below.
overall_soundscape: [00:00.000–00:08.000] Low continuous open-air wind with a faint high-altitude tone, fitting the exposed isometric landscape. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:00.000–00:08.000] Layered metallic turbine whine with rhythmic low servo ticks, matching the robot's flight and small articulation adjustments. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:03.300–00:03.800] A short, high, glassy shimmering resonance as the robot's wake crosses the nearest crystal spire. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:04.100–00:04.500] Two brief compressed hisses and pops from the robot's vernier thrusters as it corrects its bank. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: None.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-004,vidprom_50k,vidprom_50k-8232631a836e60b8,67e6de9f41ea31bdf61e2818132ceadbf91a4bcb6caa985a87e43f7e8fc82928
7,52003,"integrated_multimodal_description: 视觉风格：明亮、风格化的低多边形3D动画，位于等距视角的电子游戏立体场景中；干净的主光、饱和的草皮与浅色石材、接近正射投影的纵深，以及微妙的高空薄雾。场景：一块由低多边形棋盘格草地构成的高台，被多面晶体尖塔和一条蜿蜒的浅色道路打破；高台尽头是朦胧的山谷，远处有风力涡轮机，位于淡蓝色渐变天空之下。时长：8 seconds。[Shot 1, 00:00.000–00:03.200] 极广的高角度等距构图，显示机器人相对景观很小。静态锁定的高角度摄影机与等距网格对齐；没有移动。可见主体：一个结构复杂的关节式侦察机器人，带有抛光炮铜色装甲板、泪滴形主体、收拢于其下的四条分段肢体、两个下挂式涡轮吊舱，以及一条横贯头部的发光青色传感器条。机器人下方的等距低多边形景观：棋盘格草块、多面晶体尖塔、一条浅色蜿蜒道路、高原边缘，以及远处有风力涡轮机的朦胧山谷。整个镜头中：机器人收拢肢体，沿等距视图的对角线飞行；阳光在其面板上闪烁，青色传感器条发光，一个轮廓清晰的移动阴影在下方草块上掠过。[Shot 2, 00:03.200–00:05.600] 较近的高角度等距视图，以一簇晶体尖塔和经过的机器人为中心。静态较近的高角度摄影机保持相同的对角线等距方向；没有移动。整个镜头中：机器人抵达晶体尖塔，略微侧倾，发出两下短暂的微调反向脉冲；最近的多面晶体在机器人紧贴其旁经过时明亮闪光。[Shot 3, 00:05.600–00:08.000] 广角等距镜头，机器人在高原边缘和远处涡轮机附近渐渐变小。静态广角高角度摄影机，采用与开场镜头相同的等距方向；保持到结尾。整个镜头中：机器人越过高原边缘，改平，朝远处的风力涡轮机退去；它身后细长的白色尾迹变细消散，同时下方浅色道路上的尘土飘散。
overall_soundscape: [00:00.000–00:08.000] 低沉持续的露天风声，带有微弱的高空音调，与开阔的等距景观相符。其声源是先前引入的相应主体，并被置于屏幕上。它与相应可见动作同步。 [00:00.000–00:08.000] 层叠的金属涡轮尖啸，带有节奏性的低沉伺服滴答声，与机器人的飞行和细微关节调整匹配。其声源是先前引入的相应主体，并被置于屏幕上。它与相应可见动作同步。 [00:03.300–00:03.800] 一声短促、高亢、玻璃般闪烁的共鸣，在机器人的尾流越过最近的晶体尖塔时响起。其声源是先前引入的相应主体，并被置于屏幕上。它与相应可见动作同步。 [00:04.100–00:04.500] 两声短暂压缩的嘶嘶声和噗噗声，来自机器人的微调推进器，在它修正自身侧倾时发出。其声源是先前引入的相应主体，并被置于屏幕上。它与相应可见动作同步。
spoken_dialogue: 无。
non_diegetic_music: 无。
hard_constraints: 保留源提示中明确陈述的每个主体、动作、属性、数量、关系、场景、摄影机指令和风格约束。",zh,vp-004,vidprom_50k,vidprom_50k-8232631a836e60b8,8091a6735508c47a3c7386c42f70fe5735f44c2402d114b6e853f59b230df1a9
8,52004,"integrated_multimodal_description: Visual style: Bright, whimsical 3D family-animation style with saturated blue sky, puffy cumulus clouds, soft rim lighting, and gentle motion smoothing. Setting: Open daytime sky with scattered cumulus clouds and distant wispy cloud streaks; no ground or horizon is visible. Duration: 8 seconds. [Shot 1, 00:00.000–00:08.000] Wide airborne framing, keeping the whole pig visible against the sky throughout the flight. Dynamic tracking shot: the camera glides alongside and slightly ahead of the pig, arcing gently with her path so she stays centered without cuts. Visible subjects: A female pig wearing a school uniform: cream sailor-collar blouse, red neckerchief, navy pleated skirt, and small black school shoes. She has bright pink skin, a round snout, upright triangular ears, a small curly tail, and a cheerful expression. From 00:00.000 to 00:02.800: A female pig wearing a school uniform flies through the bright blue sky, moving from the lower-center area toward the upper left; she stretches her front trotters forward, tucks her hind legs, and her navy pleated skirt and red neckerchief stream behind in the wind. From 00:02.800 to 00:05.400: The pig banks left into a smooth aerial roll, pulling her trotters inward and tipping her snout downward; her skirt flares outward, her tail curls into a tighter spiral, and sunlight flashes over her collar and ears as she completes the turn. From 00:05.400 to 00:08.000: Leveling off, the pig soars in a gentle S-curve toward a fluffy cumulus cloud, leaning forward with one trotter leading; she smiles contentedly as the cloud’s shadow passes over her and she glides onward through the open sky.
overall_soundscape: [00:00.000–00:08.000] Continuous high-altitude wind whooshes around the scene, swelling slightly when the pig accelerates and softens when she glides. Its source is the surrounding environment, placed off screen. It is synchronized with the corresponding visible action. [00:00.000–00:08.000] Rustling cloth from the pleated skirt and sailor blouse, with a sharper flap as the skirt fills out during the roll. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action. [00:04.400–00:05.200] A bright, cheerful high-pitched pig squeal with two playful little oinks as she completes the aerial roll. Its source is the corresponding previously introduced subject, placed on screen. It is synchronized with the corresponding visible action.
spoken_dialogue: None.
non_diegetic_music: [00:00.000–00:08.000] Light, playful orchestral underscore with plucked strings and a soft brass melody matching the joyful flight. This music is non-diegetic.
hard_constraints: Preserve every subject, action, attribute, count, relationship, setting, camera instruction, and style constraint explicitly stated in the source prompt.",en,vp-005,vidprom_50k,vidprom_50k-24731deb68ab3811,f7d5128c20493be952256c869dc6ec17e39a152b2a04ef91b78a0984cf73c9d5
9,52004,"integrated_multimodal_description: 视觉风格：明亮、俏皮的 3D 家庭动画风格，具有高饱和度的蓝天、蓬松的积云、柔和的轮廓光以及轻柔的运动平滑。场景：开阔的白昼天空，散布着积云和远处飘渺的云缕；看不到地面，也看不到地平线。时长：8 seconds。[Shot 1, 00:00.000–00:08.000] 宽幅空中取景，在整个飞行过程中让整头猪始终在天空背景下可见。动态跟拍镜头：镜头从猪的身旁并稍微靠前地滑行，沿着她的路径平缓地画弧，使她保持在画面中央，没有切换。可见主体：一头穿校服的雌猪：奶油色水手领衬衫、红色领巾、藏青色百褶裙、小巧的黑色学生鞋。她有亮粉色的皮肤、圆圆的鼻子、直立的三角形耳朵、一条小卷尾和一副欢快的表情。从 00:00.000 到 00:02.800：一头穿校服的雌猪在明亮的蓝天中飞行，从画面中下部区域向左上方移动；她将前蹄向前伸展，后腿收拢，藏青色百褶裙和红色领巾在风中向后飘动。从 00:02.800 到 00:05.400：这只猪向左倾斜，进入一次流畅的空中翻滚，把前蹄向内收起，鼻子向下倾斜；她的裙子向外展开，尾巴卷成更紧的螺旋；她完成转弯时，阳光在她领口和耳朵上闪过。从 00:05.400 到 00:08.000：猪恢复平飞，沿一条平缓的S形曲线朝一朵蓬松的积云翱翔，身体前倾，一只前蹄在前；她满足地微笑着，云影从她身上掠过，她继续在开阔的天空中滑行。
overall_soundscape: [00:00.000–00:08.000] 持续的高空风声在场景周围呼啸，当猪加速时略微增强，当她滑翔时变柔和。其声源是周围环境，位于画面外。它与对应的可见动作同步。[00:00.000–00:08.000] 百褶裙和水手领衬衫发出布料窸窣声，并在翻滚中裙子鼓起时带有更清晰的拍打声。其声源是先前引入的对应主体，位于画面内。它与对应的可见动作同步。[00:04.400–00:05.200] 一声明亮、欢快的高音调猪叫，带着两声俏皮的小哼哼，在她完成空中翻滚时响起。其声源是先前引入的对应主体，位于画面内。它与对应的可见动作同步。
spoken_dialogue: 无。
non_diegetic_music: [00:00.000–00:08.000] 轻快、俏皮的管弦乐配乐，带有拨弦声和柔和的铜管旋律，与这段欢乐的飞行相配。这段音乐是非剧情内音乐。
hard_constraints: 保留源提示中明确陈述的每个主体、动作、属性、数量、关系、场景、镜头指示和风格约束。",zh,vp-005,vidprom_50k,vidprom_50k-24731deb68ab3811,868b71a78c5c9452039c7aa9d5740f2a8c8cb4bfc0ed35ef519007667061a3fe
